Time,True_theta,True_theta_dot,Meas_theta,Meas_theta_dot,Est_theta,Est_theta_dot
2.39,0.0394463,-0.26359,-0.197006,-0.105741,0.0312835,-0.297247
2.4,0.0367997,-0.265672,0.0595372,-0.838235,0.0273091,-0.299343
2.41,0.0341337,-0.267481,-0.184393,-0.849576,0.025429,-0.314116
2.42,0.031451,-0.269018,-0.513474,-1.22867,0.0228461,-0.317371
2.43,0.0287543,-0.270282,-0.490159,-0.0408873,0.0200788,-0.333021
2.44,0.0260463,-0.271273,0.0808324,-0.289889,0.0148778,-0.324903
2.45,0.0233297,-0.271994,0.905888,-0.674538,0.0117194,-0.327145
2.46,0.0206073,-0.272443,0.10178,-0.441963,0.0114769,-0.33106
2.47,0.0178818,-0.272624,-0.328812,-0.746482,0.00867184,-0.326648
2.48,0.0151557,-0.272537,-0.000584786,-0.261915,0.00536892,-0.332792
2.49,0.0124319,-0.272184,0.0377258,-0.131027,0.00186347,-0.336001
2.5,0.00971294,-0.271567,-0.103396,-0.185661,-0.00174853,-0.325617
2.51,0.00700145,-0.270688,0.0639919,0.443563,-0.00549833,-0.318056
2.52,0.00430004,-0.26955,-0.155896,0.118117,-0.00998528,-0.305246
2.53,0.00161131,-0.268155,0.404937,-0.0575014,-0.0142249,-0.296107
2.54,-0.00106222,-0.266507,-0.345903,-0.656141,-0.0165679,-0.293362
2.55,-0.00371801,-0.264609,0.253955,-0.366015,-0.0195732,-0.290383
2.56,-0.00635358,-0.262464,0.0273064,0.269541,-0.0216,-0.289947
2.57,-0.00896648,-0.260076,-0.400282,-0.160197,-0.02547,-0.281799
2.58,-0.0115543,-0.257448,-0.984996,-0.571638,-0.0294516,-0.274204
2.59,-0.0141147,-0.254585,-0.18899,-0.788227,-0.034052,-0.274944
2.6,-0.0166452,-0.25149,0.682266,-0.384807,-0.0361717,-0.280673
2.61,-0.0191437,-0.24817,0.229346,0.723555,-0.0368862,-0.279691
2.62,-0.0216079,-0.244627,-0.91942,0.68758,-0.0409203,-0.259047
2.63,-0.0240355,-0.240867,0.453345,0.381164,-0.0476177,-0.241335
2.64,-0.0264245,-0.236895,-0.659322,0.0812768,-0.0498816,-0.222226
2.65,-0.0287727,-0.232716,0.237499,-0.36213,-0.0542054,-0.207972
2.66,-0.0310782,-0.228336,-0.307049,-1.15815,-0.0551872,-0.205465
2.67,-0.0333388,-0.22376,-0.59631,-0.233364,-0.0559902,-0.215809
2.68,-0.0355527,-0.218994,0.0422474,0.312654,-0.0594545,-0.208481
2.69,-0.0377181,-0.214043,0.368295,-0.232517,-0.0622236,-0.190746
2.7,-0.039833,-0.208914,0.325027,-0.212845,-0.0628677,-0.182673
2.71,-0.0418958,-0.203612,0.211565,-0.00173525,-0.0635569,-0.173353
2.72,-0.0439047,-0.198145,0.511521,-0.0702509,-0.0648727,-0.165472
2.73,-0.0458581,-0.192518,-0.0842126,0.604914,-0.0652371,-0.16687
2.74,-0.0477545,-0.186738,0.0487813,-0.593565,-0.068382,-0.143677
2.75,-0.0495924,-0.180811,0.714694,0.10479,-0.0685832,-0.143828
